time,disp_z,force_z,strain_rr,strain_zz,stress_rr,stress_zz
0,0,0,0,0,0,0
0.005,0.008,244.76178610253,-6.9052534777095e-05,0.00023435146325662,0.20237725319893,49.213773649168
0.01,0.016,489.385196671,-0.00013808780321088,0.00046864046097318,0.40446912353009,98.4143821546
0.015,0.024,733.19913253451,-0.0002071527339947,0.00070262765366891,0.60304458747567,147.46697915305
0.02,0.032,868.34713580007,-0.00028571436563858,0.00091005137947728,0.78228398598876,174.68283752848
0.025,0.04,876.48895536585,-0.00037480101494612,0.0010897970914484,0.71551656661011,176.36383525848
0.03,0.048,878.90944909151,-0.00046457560345045,0.0012686115846082,0.47895476378166,176.89453345059
0.035,0.056,879.62762579396,-0.00055454588920666,0.0014472026144716,0.19444245624937,177.08296822679
0.04,0.064,879.611184237,-0.00064459146812763,0.0016256279181335,-0.088643393129792,177.12363586674
0.045,0.072,879.35617627502,-0.00073459928016942,0.001803729172783,-0.3647502713934,177.11627013554
0.05,0.08,878.93532180301,-0.00082456912562683,0.0019815320620616,-0.62685189395341,177.07553195907
0.055,0.088,878.36768742879,-0.00091454656607813,0.0021591118209106,-0.87425591930498,177.0051168134
0.06,0.096,877.70568425343,-0.0010044963848927,0.002336450241397,-1.1056198105318,176.91563719608
0.065,0.104,876.99542573565,-0.0010943638701223,0.0025134959998806,-1.3205408040928,176.81636209262
0.07,0.112,876.22619691087,-0.00118418089478,0.0026903007033218,-1.5199464219676,176.70525251151
0.075,0.12,875.42785180529,-0.0012739025998889,0.0028668268595304,-1.7046077743944,176.58817704773
0.08,0.128,874.59904964523,-0.0013635371030128,0.0030430926973094,-1.8763604154059,176.46495701144
0.085,0.136,873.7563772399,-0.0014530714676228,0.0032190891925663,-2.0369352735233,176.33820904373
0.09,0.144,872.88726306131,-0.0015424901077343,0.003394800650202,-2.1871739264577,176.20699602741
0.095,0.152,872.0078320188,-0.0016317974227281,0.0035702480505065,-2.3270158737801,176.07317056012
0.1,0.16,871.11352315114,-0.0017209903779253,0.0037454305406216,-2.4574657526329,175.93642671643

