time,dt,strainTheta,stressTheta,stressTheta_pt
0,0,0,0,0
0.1,0.1,-8.9258841939522e-07,-23125.986773157,-26500.465549496
0.2,0.1,-1.7851759433093e-06,-46251.961821885,-53000.910353636
0.3,0.1,-2.6777625722787e-06,-69377.925147611,-79501.334401915
0.4,0.1,-3.5703483063007e-06,-92503.876749775,-106001.73770804
0.5,0.1,-4.4629331453559e-06,-115629.81662851,-132502.12026581
0.6,0.1,-5.3555170894985e-06,-138755.74478469,-159002.48206916
0.7,0.1,-6.2481001386977e-06,-161881.66121814,-185502.82312898
0.8,0.1,-7.1406822929701e-06,-185007.5659281,-212003.1434381
0.9,0.1,-8.0332635523273e-06,-208133.45891616,-238503.44299807
1,0.1,-8.9258439167784e-06,-231259.34018132,-265003.72180676
1.1,0.1,-9.8184233862785e-06,-254385.20972305,-291503.97987287
1.2,0.1,-1.071100196087e-05,-277511.06754204,-318004.21718626
1.3,0.1,-1.1603579640573e-05,-300636.91363941,-344504.43374632
1.4,0.1,-1.2496156425355e-05,-323762.74801333,-371004.629564
1.5,0.1,-1.3388732315273e-05,-346888.57066577,-397504.80463373
1.6,0.1,-1.4281307310261e-05,-370014.3815949,-424004.95895165
1.7,0.1,-1.5173881410387e-05,-393140.18080231,-450505.0925274
1.8,0.1,-1.6066454615614e-05,-416265.9682871,-477005.20535434
1.9,0.1,-1.6959026925995e-05,-439391.74405084,-503505.29743398
2,0.1,-1.7851598341453e-05,-462517.50809073,-530005.36876155
2.1,0.1,-1.8744168862066e-05,-485643.26040983,-556505.41934782
2.2,0.1,-1.9636738487787e-05,-508769.00100571,-583005.44918202
2.3,0.1,-2.0529307218664e-05,-531894.72988046,-609505.45826947
2.4,0.1,-2.1421875054697e-05,-555020.4470333,-636005.44661311
2.5,0.1,-2.2314441995854e-05,-578146.15246392,-662505.41420967
2.6,0.1,-2.3207008042195e-05,-601271.84617405,-689005.36105686
2.7,0.1,-2.4099573193648e-05,-624397.52816086,-715505.28715243
2.8,0.1,-2.4992137450301e-05,-647523.19842709,-742005.1925063
2.9,0.1,-2.5884700812097e-05,-670648.85697122,-768505.07711363
3,0.1,-2.677726327907e-05,-693774.50379434,-795004.94097086
3.1,0.1,-2.7669824851215e-05,-716900.13889582,-821504.78408679
3.2,0.1,-2.8562385528525e-05,-740025.7622755,-848004.60645453
3.3,0.1,-2.9454945311039e-05,-763151.37393438,-874504.40807142
3.4,0.1,-3.0347504198744e-05,-786276.97387214,-901004.18894939
3.5,0.1,-3.124006219162e-05,-809402.56208817,-927503.94907684
3.6,0.1,-3.2132619289701e-05,-832528.13858333,-954003.68846006
3.7,0.1,-3.3025175492991e-05,-855653.7033575,-980503.40708967
3.8,0.1,-3.3917730801491e-05,-878779.25641103,-1007003.1049815
3.9,0.1,-3.4810285215184e-05,-901904.79774303,-1033502.7821257
4,0.099999999999998,-3.5702838734084e-05,-925030.32735389,-1060002.4385245

