time,dt,strain,stress
0,0,0,0
0.1,0.1,-0.01834365616077,-20157.863912934
0.2,0.1,-0.036981556866868,-40639.073480072
0.3,0.1,-0.055924555912602,-61455.555947934
0.4,0.1,-0.075184154203844,-82619.949674585
0.5,0.1,-0.094772553983157,-104145.66371776
0.6,0.1,-0.11470271898455,-126046.94393905
0.7,0.1,-0.13498844132105,-148338.94650784
0.8,0.1,-0.15564441606148,-171037.81984782
0.9,0.1,-0.17668632455242,-194160.79621141
1,0.1,-0.19813092784568,-217726.29433601
1.1,0.1,-0.21999617167982,-241754.03481323
1.2,0.1,-0.24230130486421,-266265.17017849
1.3,0.1,-0.26506701314243,-291282.432022
1.4,0.1,-0.2883155711762,-316830.29799338
1.5,0.1,-0.31207101560281,-342935.18198116
1.6,0.1,-0.3363593429422,-369625.65158343
1.7,0.1,-0.36120873669701,-396932.67768906
1.8,0.1,-0.38664982930248,-424889.92230859
1.9,0.1,-0.41271600534204,-453534.07180569
2,0.1,-0.43944375458795,-482905.22482405
2.1,0.1,-0.46687308485482,-513047.34599141
2.2,0.1,-0.49504800769075,-544008.79966022
2.3,0.1,-0.52401711331916,-575842.98166986
2.4,0.1,-0.55383425520718,-608609.07165734
2.5,0.1,-0.5845593713294,-642372.93552684
2.6,0.1,-0.61625947658925,-677208.21603145
2.7,0.1,-0.64900987212371,-713197.6616754
2.8,0.1,-0.68289563215296,-750434.76060453
2.9,0.1,-0.71801344992142,-789025.76914462
3,0.1,-0.75447395506967,-829092.25831881
3.1,0.1,-0.79240465709495,-870774.34845618
3.2,0.1,-0.83195373504662,-914234.87367504
3.3,0.1,-0.8732949901019,-959664.82427539
3.4,0.1,-0.91663442740072,-1007290.5795591
3.5,0.1,-0.96221917669169,-1057383.7106574
3.6,0.1,-1.0103498452196,-1110274.5551848
3.7,0.1,-1.061398073842,-1166371.509715
3.8,0.1,-1.1158322508781,-1226189.2866778
3.9,0.1,-1.1742565470399,-1290391.8099326
4,0.099999999999998,-1.2374728245358,-1359860.2467412

